asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error,fixed_displacement
MINA,FAIL,binance,1H,2024-01-22,2026-01-21,17521,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.5,4.75,3.0,4.5,5,29,14,30,26,2.697989683882233,12.33057086388576,303,5.431142816516664,9.003531673723275,123,0.5011774014891626,0.7019501347293566,81,-1.5783172923907962,1.1145150015486187,0.18575956923897524,0.192,,26
MINA,SUCCESS,binance,1H,2024-01-22,2026-01-21,17521,42,,3.75,5.0,3.0,3.5,10,35,9,22,39,1.9926514785243676,10.30948557258946,315,4.138921804135879,7.101300932948895,108,1.6953805612821558,2.7058730472198755,84,-2.0248725972137227,1.4394064235630124,0.8508164019418227,0.05,,39
MINA,SUCCESS,binance,1H,2024-01-22,2026-01-21,17521,42,,3.75,4.0,3.0,10.0,9,31,11,19,52,2.3062194203517894,10.279202423630696,267,3.7189044386248695,5.805761042231827,105,1.692327313399183,2.4633802402508786,84,-2.07128041193263,1.435815722469422,0.7338101910272858,0.05,,52
MINA,SUCCESS,binance,1H,2024-01-22,2026-01-21,17521,42,,2.75,5.0,3.0,7.0,8,20,14,28,65,3.2418674372534806,20.373328813977952,282,3.3057694913788063,7.239943268314031,108,2.640186496573135,5.547069107134384,96,-2.0341842510310237,1.7104533222816003,0.8144029784295895,0.014,,65
MINA,SUCCESS,binance,1H,2024-01-22,2026-01-21,17521,42,,3.0,3.0,9.0,4.5,5,36,14,23,78,2.803657072716672,11.66321914981523,222,1.7819350356480155,2.5721825639526186,84,2.7939541922027074,3.9207821746300775,78,-1.0153734784853485,1.8275321896998384,0.9965392056652054,0.01,,78
OSMO,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.75,2.0,8.5,6.5,8,23,15,15,26,4.344926938492841,31.47397636673841,381,1.0933395780901562,2.654562676604555,138,-1.8339050834267812,-3.707101743971908,105,-4.8109539754773945,0.6890879865317003,-0.4220796136247396,0.234,,26
OSMO,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.75,3.75,3.0,6.5,7,23,8,18,39,2.7393825966068794,10.762515990992117,285,-1.9635616617673837,-2.9561766036182213,99,-0.7839079281998012,-0.894174187006358,57,-1.8206252600757367,0.8059209459587561,-0.2861622648734004,0.076,,39
OSMO,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,3.75,4.75,3.0,6.0,9,31,10,16,52,3.8368760205193757,18.88233096092984,267,1.828755142756461,3.252842963627489,111,2.304182404470706,2.9705979525566084,57,-1.0138147079722493,1.8244103370626494,0.6005360590616119,0.0,,52
OSMO,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,3.25,2.75,6.0,8.0,10,32,10,26,65,4.055623713635155,16.63408968614597,243,-1.0030110712019062,-1.6408929447559228,105,3.0498141655569153,3.495064654421398,57,-1.017609817494658,2.1148533627325383,0.7519963342021422,0.0,,65
OSMO,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,3.75,3.25,8.5,10.0,8,25,11,15,78,4.112555743699227,16.665909127939816,216,0.21736021499935212,0.3020264808513362,84,2.0262033151758074,2.544310304060171,60,-1.307813202794239,1.6111429187030437,0.49268713701452366,0.0,,78
